DATE,Complaint_Count
2024-05-03,19
2024-05-04,14
2024-05-05,8
2024-05-06,24
2024-05-07,31
2024-05-08,33
2024-05-09,36
2024-05-10,48
2024-05-11,24
2024-05-12,35
2024-05-13,37
2024-05-14,30
2024-05-15,28
2024-05-16,18
2024-05-17,35
2024-05-18,25
2024-05-19,14
2024-05-20,19
2024-05-21,66
2024-05-22,47
2024-05-23,36
2024-05-24,41
2024-05-25,24
2024-05-26,51
2024-05-27,53
2024-05-28,69
2024-05-29,101
2024-05-30,145
2024-05-31,78
2024-06-01,149
2024-06-02,181
2024-06-03,94
2024-06-04,62
2024-06-05,34
2024-06-06,26
2024-06-07,39
2024-06-08,43
2024-06-09,56
2024-06-10,45
2024-06-11,63
2024-06-12,48
2024-06-13,46
2024-06-14,87
2024-06-15,57
2024-06-16,97
2024-06-17,28
2024-06-18,57
2024-06-19,32
2024-06-20,59
2024-06-21,43
2024-06-22,39
2024-06-23,39
2024-06-24,35
2024-06-25,41
2024-06-26,74
2024-06-27,51
2024-06-28,48
2024-06-29,71
2024-06-30,31
2024-07-01,20
2024-07-02,14
2024-07-03,36
2024-07-04,44
2024-07-05,28
2024-07-06,39
2024-07-07,33
2024-07-08,46
2024-07-09,27
2024-07-10,19
2024-07-11,25
2024-07-12,29
2024-07-13,46
2024-07-14,31
2024-07-15,28
2024-07-16,37
2024-07-17,35
2024-07-18,29
2024-07-19,38
2024-07-20,49
2024-07-21,39
2024-07-22,28
2024-07-23,34
2024-07-24,46
2024-07-25,34
2024-07-26,39
2024-07-27,26
2024-07-28,29
2024-07-29,33
2024-07-30,38
2024-07-31,48
2024-08-01,21
2024-08-02,28
2024-08-03,19
2024-08-04,34
2024-08-05,27
2024-08-06,55
2024-08-07,58
2024-08-08,20
2024-08-09,9
2024-08-10,36
2024-08-11,23
2024-08-12,31
2024-08-13,42
2024-08-14,18
2024-08-15,29
2024-08-16,19
2024-08-17,26
2024-08-18,28
2024-08-19,21
2024-08-20,36
2024-08-21,30
2024-08-22,36
2024-08-23,33
2024-08-24,30
2024-08-25,32
2024-08-26,41
2024-08-27,30
2024-08-28,31
2024-08-29,39
2024-08-30,44
2024-08-31,40
2024-09-01,19
2024-09-02,18
2024-09-03,46
2024-09-04,30
2024-09-05,25
2024-09-06,25
2024-09-07,73
2024-09-08,129
2024-09-09,92
2024-09-10,53
2024-09-11,36
2024-09-12,16
2024-09-13,33
2024-09-14,35
2024-09-15,34
2024-09-16,30
2024-09-17,21
2024-09-18,35
2024-09-19,34
2024-09-20,36
2024-09-21,32
2024-09-22,61
2024-09-23,76
2024-09-24,111
2024-09-25,59
2024-09-26,64
2024-09-27,32
2024-09-28,16
2024-09-29,37
2024-09-30,33
2024-10-01,46
2024-10-02,22
2024-10-03,26
2024-10-04,20
2024-10-05,33
2024-10-06,16
2024-10-07,29
2024-10-08,43
2024-10-09,31
2024-10-10,26
2024-10-11,17
2024-10-12,17
2024-10-13,10
2024-10-14,14
2024-10-15,18
2024-10-16,18
2024-10-17,20
2024-10-18,13
2024-10-19,31
2024-10-20,28
2024-10-21,20
2024-10-22,25
2024-10-23,29
2024-10-24,47
2024-10-25,26
2024-10-26,18
2024-10-27,41
2024-10-28,20
2024-10-29,22
2024-10-30,17
2024-10-31,17
2024-11-01,6
2024-11-02,21
2024-11-03,7
2024-11-04,26
2024-11-05,33
2024-11-06,18
2024-11-07,31
2024-11-08,19
2024-11-09,15
2024-11-10,37
2024-11-11,32
2024-11-12,20
2024-11-13,24
2024-11-14,13
2024-11-15,13
2024-11-16,30
2024-11-17,24
2024-11-18,20
2024-11-19,25
2024-11-20,13
2024-11-21,26
2024-11-22,17
2024-11-23,23
2024-11-24,4
2024-11-25,19
2024-11-26,31
2024-11-27,12
2024-11-28,22
2024-11-29,31
2024-11-30,32
2024-12-01,38
2024-12-02,15
2024-12-03,21
2024-12-04,13
2024-12-05,25
2024-12-06,18
2024-12-07,29
2024-12-08,27
2024-12-09,18
2024-12-10,13
2024-12-11,71
2024-12-12,41
2024-12-13,31
2024-12-14,23
2024-12-15,14
2024-12-16,36
2024-12-17,25
2024-12-18,11
2024-12-19,39
2024-12-20,31
2024-12-21,17
2024-12-22,8
2024-12-23,18
2024-12-24,27
2024-12-25,25
2024-12-26,31
2024-12-27,25
2024-12-28,15
2024-12-29,11
2024-12-30,5
2024-12-31,18
2025-01-01,4
2025-01-02,3
2025-01-03,15
2025-01-04,29
2025-01-05,13
2025-01-06,16
2025-01-07,17
2025-01-08,6
2025-01-09,12
2025-01-10,19
2025-01-11,25
2025-01-12,25
2025-01-13,16
2025-01-14,26
2025-01-15,13
2025-01-16,21
2025-01-17,16
2025-01-18,10
2025-01-19,8
2025-01-20,21
2025-01-21,11
2025-01-22,5
2025-01-23,10
2025-01-24,9
2025-01-25,26
2025-01-26,23
2025-01-27,11
2025-01-28,14
2025-01-29,9
2025-01-30,12
2025-01-31,28
2025-02-01,44
2025-02-02,22
2025-02-03,26
2025-02-04,13
2025-02-05,40
2025-02-06,27
2025-02-07,14
2025-02-08,18
2025-02-09,24
2025-02-10,23
2025-02-11,17
2025-02-12,24
2025-02-13,19
2025-02-14,8
2025-02-15,14
2025-02-16,7
2025-02-17,37
2025-02-18,19
2025-02-19,41
2025-02-20,24
2025-02-21,9
2025-02-22,41
2025-02-23,22
2025-02-24,35
2025-02-25,23
2025-02-26,27
2025-02-27,14
2025-02-28,38
2025-03-01,26
2025-03-02,11
2025-03-03,8
2025-03-04,10
2025-03-05,15
2025-03-06,43
2025-03-07,19
2025-03-08,23
2025-03-09,25
2025-03-10,14
2025-03-11,17
2025-03-12,13
2025-03-13,22
2025-03-14,31
2025-03-15,19
2025-03-16,7
2025-03-17,28
2025-03-18,22
2025-03-19,53
2025-03-20,27
2025-03-21,60
2025-03-22,70
2025-03-23,58
2025-03-24,57
2025-03-25,26
2025-03-26,17
2025-03-27,25
2025-03-28,16
2025-03-29,21
2025-03-30,30
2025-03-31,22
2025-04-01,14
2025-04-02,48
2025-04-03,52
2025-04-04,28
2025-04-05,30
2025-04-06,9
2025-04-07,15
2025-04-08,36
2025-04-09,27
2025-04-10,60
2025-04-11,34
2025-04-12,41
2025-04-13,34
2025-04-14,35
2025-04-15,55
2025-04-16,42
2025-04-17,25
2025-04-18,78
2025-04-19,89
2025-04-20,79
2025-04-21,79
2025-04-22,90
2025-04-23,85
2025-04-24,50
2025-04-25,58
2025-04-26,119
2025-04-27,53
2025-04-28,68
2025-04-29,111
2025-04-30,146
2025-05-01,90
2025-05-02,39
2025-05-03,142
2025-05-04,124
2025-05-05,81
2025-05-06,41
2025-05-07,50
2025-05-08,36
2025-05-09,16
2025-05-10,32
2025-05-11,58
2025-05-12,117
2025-05-13,90
2025-05-14,76
2025-05-15,71
2025-05-16,74
2025-05-17,56
2025-05-18,56
2025-05-19,59
2025-05-20,116
2025-05-21,84
2025-05-22,127
2025-05-23,72
2025-05-24,71
2025-05-25,65
2025-05-26,78
2025-05-27,49
2025-05-28,80
2025-05-29,102
2025-05-30,112
2025-05-31,95
2025-06-01,62
2025-06-02,36
2025-06-03,38
2025-06-04,31
2025-06-05,50
2025-06-06,44
2025-06-07,63
2025-06-08,43
2025-06-09,78
2025-06-10,53
2025-06-11,41
2025-06-12,48
2025-06-13,36
2025-06-14,43
2025-06-15,83
2025-06-16,72
2025-06-17,83
2025-06-18,78
2025-06-19,75
2025-06-20,39
2025-06-21,45
2025-06-22,42
2025-06-23,32
2025-06-24,37
2025-06-25,35
2025-06-26,39
2025-06-27,29
2025-06-28,42
2025-06-29,34
2025-06-30,15
2025-07-01,24
2025-07-02,40
2025-07-03,62
2025-07-04,50
2025-07-05,68
2025-07-06,78
2025-07-07,78
2025-07-08,56
2025-07-09,37
2025-07-10,48
2025-07-11,59
2025-07-12,38
2025-07-13,49
2025-07-14,92
2025-07-15,67
2025-07-16,42
2025-07-17,36
2025-07-18,64
2025-07-19,58
2025-07-20,36
2025-07-21,48
2025-07-22,51
2025-07-23,78
2025-07-24,105
2025-07-25,79
2025-07-26,52
2025-07-27,56
2025-07-28,46
2025-07-29,47
2025-07-30,24
2025-07-31,28
2025-08-01,37
2025-08-02,64
2025-08-03,37
2025-08-04,30
2025-08-05,50
2025-08-06,58
2025-08-07,44
2025-08-08,26
2025-08-09,35
2025-08-10,35
2025-08-11,43
2025-08-12,58
2025-08-13,62
2025-08-14,83
2025-08-15,47
2025-08-16,48
2025-08-17,51
2025-08-18,37
2025-08-19,54
2025-08-20,50
2025-08-21,48
2025-08-22,59
2025-08-23,30
2025-08-24,30
2025-08-25,31
2025-08-26,27
2025-08-27,36
2025-08-28,29
2025-08-29,17
2025-08-30,20
2025-08-31,27
2025-09-01,44
2025-09-02,34
2025-09-03,35
2025-09-04,54
2025-09-05,38
2025-09-06,34
2025-09-07,37
2025-09-08,54
2025-09-09,58
2025-09-10,49
2025-09-11,72
2025-09-12,52
2025-09-13,37
2025-09-14,36
2025-09-15,73
2025-09-16,50
2025-09-17,22
2025-09-18,34
2025-09-19,48
2025-09-20,50
2025-09-21,49
2025-09-22,83
2025-09-23,98
2025-09-24,79
2025-09-25,52
2025-09-26,53
2025-09-27,58
2025-09-28,36
2025-09-29,29
2025-09-30,12
2025-10-01,19
2025-10-02,65
2025-10-03,60
2025-10-04,28
2025-10-05,30
2025-10-06,35
2025-10-07,17
2025-10-08,35
2025-10-09,40
2025-10-10,34
2025-10-11,31
2025-10-12,14
2025-10-13,31
2025-10-14,26
2025-10-15,15
2025-10-16,18
2025-10-17,18
2025-10-18,17
2025-10-19,37
2025-10-20,42
